Datetime,Open,High,Low,Close,Adj Close,Volume,Datetime_UTC,measurement,tag
2021-04-29 22:00:00-04:00,13895.0,13898.25,13885.75,13890.0,13890.0,3225,2021-04-30 02:00:00,commodity_data_try2,Nasdaq_Futures
2021-04-29 23:00:00-04:00,13889.75,13899.25,13886.25,13896.0,13896.0,1826,2021-04-30 03:00:00,commodity_data_try2,Nasdaq_Futures
2021-04-30 00:00:00-04:00,13897.75,13904.0,13891.0,13897.25,13897.25,2557,2021-04-30 04:00:00,commodity_data_try2,Nasdaq_Futures
2021-04-30 01:00:00-04:00,13897.25,13902.75,13865.75,13879.25,13879.25,5500,2021-04-30 05:00:00,commodity_data_try2,Nasdaq_Futures
2021-04-30 02:00:00-04:00,13878.75,13917.0,13876.75,13914.0,13914.0,5355,2021-04-30 06:00:00,commodity_data_try2,Nasdaq_Futures
2021-04-30 03:00:00-04:00,13914.75,13923.5,13898.5,13905.5,13905.5,5991,2021-04-30 07:00:00,commodity_data_try2,Nasdaq_Futures
2021-04-30 04:00:00-04:00,13905.5,13912.5,13890.75,13902.75,13902.75,4205,2021-04-30 08:00:00,commodity_data_try2,Nasdaq_Futures
2021-04-30 05:00:00-04:00,13903.75,13915.25,13880.25,13884.5,13884.5,5560,2021-04-30 09:00:00,commodity_data_try2,Nasdaq_Futures
2021-04-30 06:00:00-04:00,13885.25,13892.25,13833.25,13852.0,13852.0,11352,2021-04-30 10:00:00,commodity_data_try2,Nasdaq_Futures
2021-04-30 07:00:00-04:00,13852.75,13870.25,13841.75,13869.25,13869.25,8052,2021-04-30 11:00:00,commodity_data_try2,Nasdaq_Futures
2021-04-30 08:00:00-04:00,13869.0,13871.25,13819.75,13855.0,13855.0,15198,2021-04-30 12:00:00,commodity_data_try2,Nasdaq_Futures
2021-04-30 09:00:00-04:00,13855.25,13908.5,13835.75,13907.5,13907.5,71189,2021-04-30 13:00:00,commodity_data_try2,Nasdaq_Futures
2021-04-30 10:00:00-04:00,13907.25,13956.75,13874.75,13898.75,13898.75,94172,2021-04-30 14:00:00,commodity_data_try2,Nasdaq_Futures
2021-04-30 11:00:00-04:00,13898.75,13917.25,13860.25,13906.0,13906.0,70671,2021-04-30 15:00:00,commodity_data_try2,Nasdaq_Futures
2021-04-30 12:00:00-04:00,13905.5,13919.5,13871.25,13890.0,13890.0,43342,2021-04-30 16:00:00,commodity_data_try2,Nasdaq_Futures
2021-04-30 13:00:00-04:00,13890.0,13901.25,13825.0,13838.25,13838.25,46343,2021-04-30 17:00:00,commodity_data_try2,Nasdaq_Futures
2021-04-30 14:00:00-04:00,13838.5,13874.25,13832.5,13856.5,13856.5,46635,2021-04-30 18:00:00,commodity_data_try2,Nasdaq_Futures
2021-04-30 15:00:00-04:00,13856.5,13877.0,13827.0,13862.0,13862.0,78766,2021-04-30 19:00:00,commodity_data_try2,Nasdaq_Futures
2021-04-30 16:00:00-04:00,13861.75,13882.0,13861.0,13865.25,13865.25,13565,2021-04-30 20:00:00,commodity_data_try2,Nasdaq_Futures
2021-05-02 18:00:00-04:00,13880.25,13888.75,13870.0,13882.25,13882.25,4363,2021-05-02 22:00:00,commodity_data_try2,Nasdaq_Futures
2021-05-02 19:00:00-04:00,13881.75,13885.75,13877.25,13879.75,13879.75,1324,2021-05-02 23:00:00,commodity_data_try2,Nasdaq_Futures
2021-05-02 20:00:00-04:00,13880.25,13899.25,13877.25,13897.25,13897.25,3152,2021-05-03 00:00:00,commodity_data_try2,Nasdaq_Futures
2021-05-02 21:00:00-04:00,13896.75,13903.0,13875.0,13879.0,13879.0,3553,2021-05-03 01:00:00,commodity_data_try2,Nasdaq_Futures
2021-05-02 22:00:00-04:00,13878.5,13881.25,13868.0,13873.5,13873.5,2616,2021-05-03 02:00:00,commodity_data_try2,Nasdaq_Futures
2021-05-02 23:00:00-04:00,13874.5,13878.0,13871.25,13876.25,13876.25,1165,2021-05-03 03:00:00,commodity_data_try2,Nasdaq_Futures
2021-05-03 00:00:00-04:00,13876.75,13877.0,13866.0,13869.5,13869.5,1501,2021-05-03 04:00:00,commodity_data_try2,Nasdaq_Futures
2021-05-03 01:00:00-04:00,13869.5,13870.5,13856.0,13860.25,13860.25,1642,2021-05-03 05:00:00,commodity_data_try2,Nasdaq_Futures
2021-05-03 02:00:00-04:00,13860.75,13880.25,13856.0,13877.5,13877.5,2313,2021-05-03 06:00:00,commodity_data_try2,Nasdaq_Futures
2021-05-03 03:00:00-04:00,13877.5,13913.0,13877.0,13896.0,13896.0,7865,2021-05-03 07:00:00,commodity_data_try2,Nasdaq_Futures
2021-05-03 04:00:00-04:00,13896.5,13901.0,13875.0,13876.0,13876.0,4978,2021-05-03 08:00:00,commodity_data_try2,Nasdaq_Futures
2021-05-03 05:00:00-04:00,13876.0,13879.5,13844.5,13860.75,13860.75,7047,2021-05-03 09:00:00,commodity_data_try2,Nasdaq_Futures
2021-05-03 06:00:00-04:00,13860.75,13893.0,13858.75,13876.0,13876.0,6855,2021-05-03 10:00:00,commodity_data_try2,Nasdaq_Futures
2021-05-03 07:00:00-04:00,13876.75,13900.0,13876.5,13889.75,13889.75,8444,2021-05-03 11:00:00,commodity_data_try2,Nasdaq_Futures
2021-05-03 08:00:00-04:00,13889.0,13913.5,13885.0,13899.75,13899.75,11246,2021-05-03 12:00:00,commodity_data_try2,Nasdaq_Futures
2021-05-03 09:00:00-04:00,13899.5,13916.25,13851.0,13874.75,13874.75,60126,2021-05-03 13:00:00,commodity_data_try2,Nasdaq_Futures
2021-05-03 10:00:00-04:00,13873.75,13947.5,13837.5,13847.0,13847.0,96346,2021-05-03 14:00:00,commodity_data_try2,Nasdaq_Futures
2021-05-03 11:00:00-04:00,13847.25,13847.5,13775.75,13813.5,13813.5,82608,2021-05-03 15:00:00,commodity_data_try2,Nasdaq_Futures
2021-05-03 12:00:00-04:00,13813.5,13821.5,13772.0,13790.75,13790.75,42139,2021-05-03 16:00:00,commodity_data_try2,Nasdaq_Futures
2021-05-03 13:00:00-04:00,13791.0,13810.0,13773.5,13795.0,13795.0,32745,2021-05-03 17:00:00,commodity_data_try2,Nasdaq_Futures
2021-05-03 14:00:00-04:00,13794.75,13820.5,13794.25,13813.0,13813.0,30907,2021-05-03 18:00:00,commodity_data_try2,Nasdaq_Futures
2021-05-03 15:00:00-04:00,13812.75,13819.25,13774.0,13790.25,13790.25,48320,2021-05-03 19:00:00,commodity_data_try2,Nasdaq_Futures
2021-05-03 16:00:00-04:00,13790.5,13796.75,13779.0,13785.0,13785.0,7393,2021-05-03 20:00:00,commodity_data_try2,Nasdaq_Futures
